target	class
TAF1	Functional_Group_4
TAF12	Functional_Group_8
TAF1C	Functional_Group_8
TAF1D	Functional_Group_9
TAF2	Functional_Group_7
TAF5	Functional_Group_8
TAF6	Functional_Group_6
TAF8	Functional_Group_3
TANGO6	Functional_Group_6
TARS	Functional_Group_3
TBCB	Functional_Group_3
TBL3	Functional_Group_5
TBP	Functional_Group_4
TCOF1	Functional_Group_4
TCP1	Functional_Group_7
TEFM	Functional_Group_4
TELO2	Functional_Group_8
TERF2	Functional_Group_7
TEX10	Functional_Group_6
TFDP1	Functional_Group_8
TFIP11	Functional_Group_9
THAP11	Functional_Group_5
THG1L	Functional_Group_8
THOC1	Functional_Group_4
THOC2	Functional_Group_3
THOC5	Functional_Group_9
THOC6	Functional_Group_8
THOC7	Functional_Group_9
TICRR	Functional_Group_1
TIMM13	Functional_Group_10
TIMM23B	Functional_Group_1
TIMM44	Functional_Group_10
TIMM9	Functional_Group_1
TMA16	Functional_Group_4
TMSB10	Functional_Group_7
TMX2	Functional_Group_10
TNPO3	Functional_Group_3
TOMM22	Functional_Group_4
TOMM40	Functional_Group_3
TOP1	Functional_Group_9
TPR	Functional_Group_8
TPX2	Functional_Group_4
TRA2B	Functional_Group_9
TREX2	Functional_Group_6
TRMT10C	Functional_Group_8
TRMT112	Functional_Group_9
TRMT5	Functional_Group_3
TRPM7	Functional_Group_8
TRRAP	Functional_Group_9
TSEN2	Functional_Group_2
TSR1	Functional_Group_3
TSR2	Functional_Group_2
TTC27	Functional_Group_8
TTI1	Functional_Group_8
TTK	Functional_Group_10
TUBGCP2	Functional_Group_4
TUT1	Functional_Group_2
TWISTNB	Functional_Group_10
TXN	Functional_Group_3
TXNL4A	Functional_Group_4
U2AF1	Functional_Group_10
U2AF2	Functional_Group_6
U2SURP	Functional_Group_9
UBA1	Functional_Group_10
UBA2	Functional_Group_4
UBA3	Functional_Group_3
UBA52	Functional_Group_6
UBAP1	Functional_Group_10
UBE2I	Functional_Group_10
UBL5	Functional_Group_7
UBQLN4	Functional_Group_10
UFL1	Functional_Group_10
UFM1	Functional_Group_7
UPF1	Functional_Group_6
UPF2	Functional_Group_8
UQCC2	Functional_Group_6
UQCRB	Functional_Group_6
UQCRC2	Functional_Group_3
UQCRFS1	Functional_Group_7
UQCRQ	Functional_Group_10
URB2	Functional_Group_7
URI1	Functional_Group_6
USP36	Functional_Group_3
USP39	Functional_Group_4
USP5	Functional_Group_3
USPL1	Functional_Group_5
UTP15	Functional_Group_10
UTP18	Functional_Group_1
UTP20	Functional_Group_9
UTP23	Functional_Group_8
UTP3	Functional_Group_8
UTP6	Functional_Group_3
UXT	Functional_Group_9
VARS	Functional_Group_7
VPS28	Functional_Group_5
VPS29	Functional_Group_6
VPS35	Functional_Group_10
VPS54	Functional_Group_4
VPS72	Functional_Group_4
WBP11	Functional_Group_10
WDHD1	Functional_Group_5
WDR12	Functional_Group_7
WDR24	Functional_Group_2
WDR3	Functional_Group_4
WDR33	Functional_Group_1
WDR36	Functional_Group_1
WDR43	Functional_Group_8
WDR46	Functional_Group_3
WDR5	Functional_Group_6
WDR55	Functional_Group_3
WDR61	Functional_Group_10
WDR70	Functional_Group_3
WDR74	Functional_Group_2
WDR75	Functional_Group_4
WDR82	Functional_Group_10
WDTC1	Functional_Group_3
XAB2	Functional_Group_8
XPO1	Functional_Group_10
XRCC5	Functional_Group_9
XRCC6	Functional_Group_4
XRN2	Functional_Group_10
YEATS2	Functional_Group_10
YEATS4	Functional_Group_3
YTHDC1	Functional_Group_10
ZBTB17	Functional_Group_3
ZC3H18	Functional_Group_6
ZCCHC9	Functional_Group_4
ZCRB1	Functional_Group_6
ZFC3H1	Functional_Group_4
ZMAT2	Functional_Group_3
ZNF207	Functional_Group_10
ZNF236	Functional_Group_10
ZNF335	Functional_Group_9
ZNF574	Functional_Group_1
ZNHIT6	Functional_Group_4
ZNRD1	Functional_Group_8
ctrl	Functional_Group_1
